Year,Month,Price
2019,Apr,3.9215
2019,Mar,3.9247
2019,Feb,3.7514
2019,Jan,3.6440
2018,Dec,3.8813
2018,Nov,3.8669
2018,Oct,3.7220
2018,Sep,4.0491
2018,Aug,4.0556
2018,Jul,3.7563
2018,Jun,3.8771
2018,May,3.7235
2018,Apr,3.5072
2018,Mar,3.3051
2018,Feb,3.2462
2018,Jan,3.1859
2017,Dec,3.3125
2017,Nov,3.2727
2017,Oct,3.2727
2017,Sep,3.1619
2017,Aug,3.1479
2017,Jul,3.1264
2017,Jun,3.3072
2017,May,3.2266
2017,Apr,3.1766
2017,Mar,3.1233
2017,Feb,3.1091
2017,Jan,3.1509
2016,Dec,3.2547
2016,Nov,3.3842
2016,Oct,3.1893
2016,Sep,3.2603
2016,Aug,3.2273
2016,Jul,3.2486
2016,Jun,3.2134
2016,May,3.6111
2016,Apr,3.4358
2016,Mar,3.5935
2016,Feb,4.0171
2016,Jan,3.9988
2015,Dec,3.9608
2015,Nov,3.8690
2015,Oct,3.8564
2015,Sep,3.9491
2015,Aug,3.6193
2015,Jul,3.4213
2015,Jun,3.1031
2015,May,3.1798
2015,Apr,3.0145
2015,Mar,3.1958
2015,Feb,2.8390
2015,Jan,2.6824
